 City name,City ID,Category,Cluster
Chihuahua,52080200,Mature,Recover
Ciudad de México,52090100,Big 3,Defend
Ciudad Obregón,52260100,Other,Defend
Culiacán,52250100,Mature,Defend
Guadalajara,52140500,Big 3,Recover
Hermosillo,52260200,Mature,Defend
León,52110500,Mature,Recover
Mazatlán,52250300,Mature,Defend
Mérida,52310300,Mature,Defend
Mexicali,52020100,Mature,Recover
Monterrey,52190500,Big 3,Defend
Puebla,52210400,Mature,Defend
Querétaro,52220400,Mature,Defend
Tampico,52280300,Mature,Defend
Tijuana,52020200,Mature,Defend
Toluca,52151600,Mature,Defend
Torreón – Gómez Palacio,52050400,Mature,Defend
Aguascalientes,52010100,Mature,Recover
Cuernavaca(Cuautla),52170200,Mature,Defend
Cancún,52230100,Mature,Recover
San Luis Potosí,52240400,Mature,Defend
Juárez(CHIH),52080800,Mature,Defend
